bt_ov1,bt_rn1,bt_rr1,bt_mc1,bo_ov1,bo_wi1,bo_sr1,bo_mc1,fi_cg1,fi_ro1,fi_cpm1,bt_ov2,bt_rn2,bt_rr2,bt_mc2,bo_ov2,bo_wi2,bo_sr2,bo_mc2,fi_cg2,fi_ro2,fi_cpm2,win
297.66666666666663,2474.3333333333335,8.666666666666666,65.66666666666666,93.2,5.8,84.4,23.599999999999998,38.8,13.2,0.4773049624741236,107.49999999999999,840.1999999999998,6.8,27.3,137.42857142857142,6.142857142857143,165.28571428571428,32.42857142857142,15,2,0.2236842105263158,0
158.75,1289.125,7.75,37.875,139.7142857142857,7.571428571428572,108,32.57142857142857,0,0,0,146,1255.5,8,37,110.33333333333334,7.000000000000001,87.33333333333333,26,34.75,8.25,0.4581997863247863,1
130.625,1037.25,7.25,32.875,208.33333333333334,14.166666666666668,107.33333333333334,42.5,28.5,8.75,0.5066210906753423,223.33333333333334,1826.2222222222222,7.777777777777779,56.777777777777786,79.83333333333334,5.333333333333334,113.16666666666666,18,48.33333333333333,17.666666666666664,0.528075224691766,0
144.72727272727272,1099.818181818182,7.272727272727273,36.36363636363636,290,15.999999999999998,134.2,56.4,13.399999999999999,4.4,0.6023878830529077,339.2,2846.4,8.6,66.8,100.4,6.6,81.19999999999999,24.2,39.400000000000006,12.2,0.5797383296573693,1
101.55555555555554,783.4444444444443,6.888888888888888,25.222222222222225,136.42857142857142,6.571428571428571,128.85714285714286,33,25,5,0.47619047619047616,290.2,2341.2,8.2,67.2,163.33333333333334,9.000000000000002,107.16666666666666,37.333333333333336,30.2,12.200000000000001,0.5376420576924583,1
283.71428571428567,2319.142857142857,7.999999999999998,71.57142857142857,79.42857142857142,5.142857142857143,110.28571428571428,17.428571428571427,30.333333333333336,3.6666666666666665,0.3951195862960569,213.28571428571428,1632.4285714285716,7.428571428571427,49.42857142857143,258.1428571428571,13.285714285714286,129.42857142857144,52.142857142857146,16.333333333333332,5.333333333333334,0.2696587725999491,0
111.8,906.1999999999999,7.8999999999999995,27.400000000000002,64.5,4.666666666666668,103.16666666666666,15.166666666666668,36,5.5,0.43502331002331,223.60000000000002,1821.6,7.799999999999999,49.8,195.4,14.2,95,39.599999999999994,22.2,5,0.4244391664953922,1
126.22222222222221,1054.111111111111,7.444444444444445,32.66666666666667,201.5,11,118.16666666666667,40.16666666666667,19,7.666666666666666,0.7192780046737812,85.54545454545453,657.0909090909091,7.7272727272727275,23.36363636363637,118.85714285714286,6.571428571428571,129.57142857142858,28,25.333333333333336,5.666666666666666,0.4413919413919414,0
236.57142857142856,1981.2857142857142,8.571428571428571,51.42857142857143,153.6,9.799999999999999,90,33.4,14,3,0.25757575757575757,426.75,3669.5,8.75,101,80.57142857142858,4.857142857142858,118.14285714285714,18.714285714285715,12.5,2.75,0.41507402556164164,1
125.66666666666664,1021.5555555555558,7.999999999999999,30.66666666666667,57.57142857142857,4.2857142857142865,75.28571428571428,14.285714285714285,16.5,6,0.7546130952380952,200,1538.2857142857142,7.999999999999999,42.714285714285715,201.5,10.999999999999998,155.33333333333334,37.83333333333333,11.666666666666666,4.5,0.5828470276999689,1
178.375,1437,7.875,43,172.66666666666669,12,140.66666666666666,33.83333333333333,20.333333333333336,6,0.30832502492522434,113.25,870.5,7.25,29.5,124.16666666666669,6.333333333333335,139.16666666666666,28.000000000000004,25.4,4.800000000000001,0.47157858588779644,0
118.1111111111111,965.9999999999999,7.666666666666667,30.22222222222222,137.57142857142856,7.714285714285714,84.28571428571429,32.42857142857143,20.57142857142857,7.857142857142858,0.36320939558248183,195.54545454545456,1653.1818181818182,6.818181818181817,49.18181818181818,80.57142857142857,4.857142857142857,118.14285714285714,18.714285714285715,24.25,5.75,0.5177415193581677,0
202.75,1768,8.25,48.25,201.5,11,118.16666666666667,40.16666666666667,7.333333333333333,2,0.37742946708463954,152.81818181818187,1276.818181818182,7.636363636363637,34.27272727272728,145.33333333333331,7.833333333333333,213.83333333333331,32.666666666666664,42,7.5,0.4704641350210971,0
